
19-04-2016 21:19:01:224 - D: 	Executing bot with following commands ../Reference Bot\Reference\bin\Debug\Reference.exe D "C:\Kobus\Werk\Entelect\Game Engine v1.1.0\Game Engine\Replays\2099624094\194\D"
19-04-2016 21:19:01:224 - I: 	Executing process ../Reference Bot\Reference\bin\Debug\Reference.exe D "C:\Kobus\Werk\Entelect\Game Engine v1.1.0\Game Engine\Replays\2099624094\194\D"
19-04-2016 21:19:01:233 - I: 	Bot has 4000ms to run before it will be forcefully killed
19-04-2016 21:19:01:517 - I: 	Output from bot: *********************
19-04-2016 21:19:01:517 - I: 	Output from bot: *  .......# # ##    *
19-04-2016 21:19:01:517 - I: 	Output from bot: * *.* * *.* * *#* * *
19-04-2016 21:19:01:517 - I: 	Output from bot: *  .     .          *
19-04-2016 21:19:01:517 - I: 	Output from bot: *#*.*D* *.* * * * *#*
19-04-2016 21:19:01:517 - I: 	Output from bot: *... .   .         #*
19-04-2016 21:19:01:517 - I: 	Output from bot: *.* *.*#*.* * * * * *
19-04-2016 21:19:01:517 - I: 	Output from bot: *.   ...#...        *
19-04-2016 21:19:01:517 - I: 	Output from bot: *.* * *.*#*.* * *#* *
19-04-2016 21:19:01:518 - I: 	Output from bot: *.#  A .....        *
19-04-2016 21:19:01:518 - I: 	Output from bot: *.* * * *   * * * *#*
19-04-2016 21:19:01:518 - I: 	Output from bot: *.          #       *
19-04-2016 21:19:01:518 - I: 	Output from bot: *.* * * * * * * * * *
19-04-2016 21:19:01:518 - I: 	Output from bot: *.                  *
19-04-2016 21:19:01:518 - I: 	Output from bot: *.* * * * * * * * * *
19-04-2016 21:19:01:518 - I: 	Output from bot: *.                  *
19-04-2016 21:19:01:518 - I: 	Output from bot: *.* * * * * * * * *#*
19-04-2016 21:19:01:518 - I: 	Output from bot: *.                  *
19-04-2016 21:19:01:518 - I: 	Output from bot: *.* * * * * * *#* * *
19-04-2016 21:19:01:518 - I: 	Output from bot: *.....# # # # ##    *
19-04-2016 21:19:01:518 - I: 	Output from bot: *********************
19-04-2016 21:19:01:519 - I: 	Output from bot: Executing move command
19-04-2016 21:19:01:519 - I: 	Output from bot: Sending Back command MoveDown
19-04-2016 21:19:01:521 - E: 	Output from bot: 
19-04-2016 21:19:01:521 - I: 	Output from bot: 
19-04-2016 21:19:01:522 - I: 	Your bots total execution time was 00:00:00.2981868
