
19-04-2016 21:16:38:294 - D: 	Executing bot with following commands ../Reference Bot\Reference\bin\Debug\Reference.exe B "C:\Kobus\Werk\Entelect\Game Engine v1.1.0\Game Engine\Replays\2099624094\4\B"
19-04-2016 21:16:38:294 - I: 	Executing process ../Reference Bot\Reference\bin\Debug\Reference.exe B "C:\Kobus\Werk\Entelect\Game Engine v1.1.0\Game Engine\Replays\2099624094\4\B"
19-04-2016 21:16:38:303 - I: 	Bot has 4000ms to run before it will be forcefully killed
19-04-2016 21:16:38:601 - I: 	Output from bot: *********************
19-04-2016 21:16:38:601 - I: 	Output from bot: *   ### # # # ### D *
19-04-2016 21:16:38:601 - I: 	Output from bot: * *#*#* *#*#* *#*#* *
19-04-2016 21:16:38:601 - I: 	Output from bot: *  A#           #   *
19-04-2016 21:16:38:601 - I: 	Output from bot: *#* * * * * * * * *#*
19-04-2016 21:16:38:601 - I: 	Output from bot: *#   ...........   #*
19-04-2016 21:16:38:601 - I: 	Output from bot: * * *.*#*#*#*#*.* * *
19-04-2016 21:16:38:601 - I: 	Output from bot: * #  .### # ###.  # *
19-04-2016 21:16:38:601 - I: 	Output from bot: * *#*.*#*#*#*#*.*#* *
19-04-2016 21:16:38:601 - I: 	Output from bot: * #  . ####### .  # *
19-04-2016 21:16:38:601 - I: 	Output from bot: *#* *.*#*#.#*#*.* *#*
19-04-2016 21:16:38:601 - I: 	Output from bot: * #  . ###......  # *
19-04-2016 21:16:38:601 - I: 	Output from bot: * *#*.*#*#*#*#* *#* *
19-04-2016 21:16:38:601 - I: 	Output from bot: * #  .### # ####  # *
19-04-2016 21:16:38:601 - I: 	Output from bot: * * *.*#*#*#*#* * * *
19-04-2016 21:16:38:602 - I: 	Output from bot: *#   ............. #*
19-04-2016 21:16:38:602 - I: 	Output from bot: *#* * * * * * * *.*#*
19-04-2016 21:16:38:602 - I: 	Output from bot: *  C#           #...*
19-04-2016 21:16:38:602 - I: 	Output from bot: * *#*#* *#*#* *#*#*.*
19-04-2016 21:16:38:602 - I: 	Output from bot: *   ### # # # ### B.*
19-04-2016 21:16:38:602 - I: 	Output from bot: *********************
19-04-2016 21:16:38:602 - I: 	Output from bot: Executing move command
19-04-2016 21:16:38:602 - I: 	Output from bot: Sending Back command MoveRight
19-04-2016 21:16:38:604 - E: 	Output from bot: 
19-04-2016 21:16:38:604 - I: 	Output from bot: 
19-04-2016 21:16:38:606 - I: 	Your bots total execution time was 00:00:00.3114192
